[21:19:50] Model: mobilenet | Latency: 4.6ms | CPU: 35.3% | RAM: 15.2% | Temp: 55.4C
[21:19:50] Model: mobilenet | Latency: 5.2ms | CPU: 41.7% | RAM: 15.2% | Temp: 54.9C
[21:19:50] Model: mobilenet | Latency: 4.1ms | CPU: 30.8% | RAM: 15.2% | Temp: 55.4C
[21:19:50] Model: mobilenet | Latency: 4.2ms | CPU: 16.0% | RAM: 15.2% | Temp: 54.9C
[21:19:50] Model: mobilenet | Latency: 4.3ms | CPU: 31.0% | RAM: 15.2% | Temp: 55.4C
[21:19:50] Model: mobilenet | Latency: 3.9ms | CPU: 24.0% | RAM: 15.2% | Temp: 54.9C
[21:19:51] Model: mobilenet | Latency: 4.0ms | CPU: 20.0% | RAM: 15.3% | Temp: 55.4C
[21:19:51] Model: mobilenet | Latency: 4.2ms | CPU: 11.5% | RAM: 15.3% | Temp: 54.9C
[21:19:51] Model: mobilenet | Latency: 4.4ms | CPU: 32.1% | RAM: 15.3% | Temp: 54.3C
[21:19:51] Model: mobilenet | Latency: 4.6ms | CPU: 15.4% | RAM: 15.3% | Temp: 54.3C
[21:19:51] Model: mobilenet | Latency: 5.2ms | CPU: 16.0% | RAM: 15.3% | Temp: 55.4C
[21:19:51] Model: mobilenet | Latency: 4.2ms | CPU: 8.0% | RAM: 15.3% | Temp: 54.9C
[21:19:51] Model: mobilenet | Latency: 5.1ms | CPU: 11.5% | RAM: 15.3% | Temp: 55.4C
[21:19:51] Model: mobilenet | Latency: 4.3ms | CPU: 40.0% | RAM: 15.3% | Temp: 55.4C
[21:19:51] Model: mobilenet | Latency: 4.0ms | CPU: 26.9% | RAM: 15.3% | Temp: 54.9C
[21:19:51] Model: mobilenet | Latency: 5.9ms | CPU: 33.3% | RAM: 15.3% | Temp: 54.3C
[21:19:51] Model: mobilenet | Latency: 6.0ms | CPU: 33.3% | RAM: 15.3% | Temp: 55.4C
[21:19:51] Model: mobilenet | Latency: 4.4ms | CPU: 26.9% | RAM: 15.4% | Temp: 55.4C
[21:19:51] Model: mobilenet | Latency: 6.5ms | CPU: 30.4% | RAM: 15.3% | Temp: 56.0C
[21:19:51] Model: mobilenet | Latency: 4.5ms | CPU: 29.2% | RAM: 15.3% | Temp: 55.4C
[21:19:51] Model: mobilenet | Latency: 3.8ms | CPU: 15.4% | RAM: 15.4% | Temp: 54.9C
[21:19:52] Model: mobilenet | Latency: 3.9ms | CPU: 20.7% | RAM: 15.4% | Temp: 56.0C
[21:19:52] Model: mobilenet | Latency: 4.1ms | CPU: 20.0% | RAM: 15.4% | Temp: 55.4C
[21:19:52] Model: mobilenet | Latency: 3.8ms | CPU: 11.5% | RAM: 15.4% | Temp: 54.3C
[21:19:52] Model: mobilenet | Latency: 3.9ms | CPU: 7.7% | RAM: 15.4% | Temp: 54.9C
[21:19:52] Model: mobilenet | Latency: 3.7ms | CPU: 8.3% | RAM: 15.4% | Temp: 56.0C
